Symbol,Close,ml_confidence,expected_5d_return,Risk_Score,Risk_Category,Market_Anomaly_Active,Action_Item,Quantitative_Justification
CIPLA,824.65,0.5363547569697606,-0.0036391392251763303,16.8,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 53.6%) with a projected 5-day horizon return of +-0.36%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 16.8).
COALINDIA,135.05,0.6191225840940557,0.003907167578265898,46.4,Medium Risk,0,BUY,The asset shows solid upward momentum (Confidence: 61.9%) with a projected 5-day horizon return of +0.39%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 46.4).
DRREDDY,5224.1,0.483190957742018,-0.003224466997140519,19.6,Low Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.32%). Pruning positions to avoid near-term capital drawdowns.
EICHERMOT,2446.7,0.5273892788376848,0.005425280587163234,76.4,High Risk,0,HOLD,"ML model indicates an upward trend (+0.54% expected), but the asset belongs to a volatile historical risk category (Score: 76.4). Re-allocating exposure to a defensive posture."
GAIL,118.25,0.60873008636393,0.030826848450341487,65.7,High Risk,0,HOLD,"ML model indicates an upward trend (+3.08% expected), but the asset belongs to a volatile historical risk category (Score: 65.7). Re-allocating exposure to a defensive posture."
GRASIM,902.0,0.5163156925657522,0.002110399319926014,76.4,High Risk,0,HOLD,"ML model indicates an upward trend (+0.21% expected), but the asset belongs to a volatile historical risk category (Score: 76.4). Re-allocating exposure to a defensive posture."
HCLTECH,922.6,0.4422106571726192,-0.003344907691346934,47.5,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.33%). Pruning positions to avoid near-term capital drawdowns.
HDFC,2403.05,0.48764689789248794,-0.0032919495790787816,58.2,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.33%). Pruning positions to avoid near-term capital drawdowns.
HDFCBANK,1375.65,0.48565732802528355,-0.013902989615786026,59.3,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -1.39%). Pruning positions to avoid near-term capital drawdowns.
HEROHONDA,1785.1,0.5423193547447994,0.0035286266390225545,33.9,Medium Risk,0,BUY,The asset shows solid upward momentum (Confidence: 54.2%) with a projected 5-day horizon return of +0.35%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 33.9).
HEROMOTOCO,3040.05,0.5188821176319692,0.0005369005341675012,30.0,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 51.9%) with a projected 5-day horizon return of +0.05%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 30.0).
HINDALCO,236.2,0.45243795658691816,-0.0004827335761883188,59.3,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.05%). Pruning positions to avoid near-term capital drawdowns.
HINDUNILVR,2370.35,0.4871747727991367,-0.003718040468255984,5.4,Low Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.37%). Pruning positions to avoid near-term capital drawdowns.
ICICIBANK,503.6,0.37902816377509674,-0.012041761228246354,79.6,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -1.20%). Pruning positions to avoid near-term capital drawdowns.
INDUSINDBK,855.35,0.5071707949990184,0.008268310880996383,59.6,Medium Risk,0,BUY,The asset shows solid upward momentum (Confidence: 50.7%) with a projected 5-day horizon return of +0.83%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 59.6).
INFOSYSTCH,2727.15,0.590851305925188,0.0020268573067473024,12.1,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 59.1%) with a projected 5-day horizon return of +0.20%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 12.1).
INFY,1253.05,0.44056926364131743,-0.005360114549974561,75.7,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.54%). Pruning positions to avoid near-term capital drawdowns.
IOC,88.15,0.4654287097693443,0.0031519024533716946,76.1,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.32%). Pruning positions to avoid near-term capital drawdowns.
ITC,207.75,0.41923794781796464,-0.00478626187484517,40.0,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.48%). Pruning positions to avoid near-term capital drawdowns.
JSWSTEEL,366.85,0.4646918757643586,-0.0023013042403680936,88.6,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.23%). Pruning positions to avoid near-term capital drawdowns.
KOTAKBANK,1920.75,0.4609465071912861,-0.0034501637473640582,35.7,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.35%). Pruning positions to avoid near-term capital drawdowns.
LT,1264.8,0.4897724023257971,-0.009773753475039065,42.5,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.98%). Pruning positions to avoid near-term capital drawdowns.
M&M,711.5,0.4983922755052527,-0.0002479028500732011,61.1,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.02%). Pruning positions to avoid near-term capital drawdowns.
MARUTI,7449.95,0.541314531956095,0.009026351411763812,22.9,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 54.1%) with a projected 5-day horizon return of +0.90%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 22.9).
MUNDRAPORT,132.2,0.5618354400155195,0.003832779621530805,90.0,High Risk,0,HOLD,"ML model indicates an upward trend (+0.38% expected), but the asset belongs to a volatile historical risk category (Score: 90.0). Re-allocating exposure to a defensive posture."
NESTLEIND,18732.7,0.47678057148119146,-0.005868751398818085,7.5,Low Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.59%). Pruning positions to avoid near-term capital drawdowns.
NTPC,98.55,0.46051910606238683,-0.008397807163129335,38.9,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.84%). Pruning positions to avoid near-term capital drawdowns.
ONGC,90.8,0.40120135967564385,0.007576271974056942,88.6,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.76%). Pruning positions to avoid near-term capital drawdowns.
POWERGRID,189.95,0.4868821790199572,0.002929537227029814,13.6,Low Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.29%). Pruning positions to avoid near-term capital drawdowns.
RELIANCE,1943.85,0.5393287221800649,0.0005498146994035556,28.2,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 53.9%) with a projected 5-day horizon return of +0.05%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 28.2).
SBIN,263.0,0.4160317794563407,0.00155532071135201,93.2,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.16%). Pruning positions to avoid near-term capital drawdowns.
SESAGOA,188.75,0.42721090873431194,0.005886923178533695,69.6,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.59%). Pruning positions to avoid near-term capital drawdowns.
SHREECEM,23894.4,0.6289947657729283,0.013127230791640868,13.6,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 62.9%) with a projected 5-day horizon return of +1.31%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 13.6).
SSLT,211.9,0.5385952950570063,0.00134869161378893,36.8,Medium Risk,0,BUY,The asset shows solid upward momentum (Confidence: 53.9%) with a projected 5-day horizon return of +0.13%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 36.8).
SUNPHARMA,574.6,0.5155999630898607,0.0006099325175430652,76.4,High Risk,0,HOLD,"ML model indicates an upward trend (+0.06% expected), but the asset belongs to a volatile historical risk category (Score: 76.4). Re-allocating exposure to a defensive posture."
TATAMOTORS,169.2,0.5124126230933389,0.0028613541542215934,93.9,High Risk,0,HOLD,"ML model indicates an upward trend (+0.29% expected), but the asset belongs to a volatile historical risk category (Score: 93.9). Re-allocating exposure to a defensive posture."
TATASTEEL,621.4,0.4054932259132202,-0.0004919076964689923,47.9,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.05%). Pruning positions to avoid near-term capital drawdowns.
TCS,2908.75,0.421761286055122,-0.0574694669015457,24.3,Low Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -5.75%). Pruning positions to avoid near-term capital drawdowns.
TECHM,948.15,0.5110566739765267,-0.0035516922695796554,66.1,High Risk,0,HOLD,"ML model indicates an upward trend (+-0.36% expected), but the asset belongs to a volatile historical risk category (Score: 66.1). Re-allocating exposure to a defensive posture."
TITAN,1490.85,0.5158206608290152,-0.004237247315990895,87.9,High Risk,0,HOLD,"ML model indicates an upward trend (+-0.42% expected), but the asset belongs to a volatile historical risk category (Score: 87.9). Re-allocating exposure to a defensive posture."
ULTRACEMCO,5033.95,0.5320895994940572,-0.03179717968446062,14.3,Low Risk,0,BUY,The asset shows solid upward momentum (Confidence: 53.2%) with a projected 5-day horizon return of +-3.18%. Risk frameworks verify this security is within acceptable bounds (Risk Score: 14.3).
UNIPHOS,151.4,0.49645255081294504,0.001994884023888721,37.5,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.20%). Pruning positions to avoid near-term capital drawdowns.
UPL,451.95,0.47819835768173086,-0.0036912603509435845,51.8,Medium Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: -0.37%). Pruning positions to avoid near-term capital drawdowns.
VEDL,150.45,0.4626882310510893,0.002183279331418078,73.2,High Risk,0,SELL,Downward trend or flat performance expected over the next 5 sessions (Projected Change: 0.22%). Pruning positions to avoid near-term capital drawdowns.
WIPRO,385.55,0.44331401298385115,-0.006701579314330003,51.8,Medium Risk,1,HOLD,"CRITICAL WARNING: Statistical market regime anomaly detected. Volatility Z-score sits at 3.1. Even with an expected return projection of -0.7%, capital exposure is frozen for safety."
ZEEL,217.1,0.6022886588392034,0.01157254180050764,68.6,High Risk,0,HOLD,"ML model indicates an upward trend (+1.16% expected), but the asset belongs to a volatile historical risk category (Score: 68.6). Re-allocating exposure to a defensive posture."
